iter	Passed	Remaining
0	145	145308
1	146	73319
2	148	49350
3	150	37372
4	151	30197
5	154	25513
6	155	22127
7	158	19638
8	160	17651
9	161	16012
10	163	14679
11	164	13563
12	166	12625
13	167	11820
14	169	11120
15	170	10513
16	172	9974
17	173	9484
18	175	9048
19	176	8643
20	177	8280
21	178	7948
22	179	7640
23	180	7352
24	181	7091
25	182	6849
26	183	6623
27	184	6420
28	185	6224
29	186	6036
30	187	5857
31	188	5689
32	188	5531
33	189	5381
34	190	5241
35	190	5109
36	191	4984
37	192	4869
38	193	4756
39	193	4649
40	194	4546
41	195	4448
42	195	4355
43	196	4266
44	197	4181
45	197	4099
46	198	4028
47	199	3957
48	200	3886
49	200	3818
50	201	3752
51	202	3688
52	202	3626
53	203	3567
54	204	3510
55	205	3456
56	205	3407
57	206	3358
58	207	3308
59	208	3260
60	208	3213
61	209	3168
62	210	3125
63	210	3082
64	211	3041
65	212	3008
66	213	2971
67	214	2934
68	214	2898
69	215	2863
70	216	2828
71	216	2794
72	217	2761
73	218	2729
74	218	2697
75	219	2667
76	220	2638
77	220	2609
78	221	2582
79	222	2554
80	222	2527
81	223	2500
82	223	2472
83	224	2447
84	225	2423
85	225	2399
86	226	2377
87	227	2354
88	227	2333
89	228	2311
90	229	2290
91	230	2271
92	230	2251
93	231	2232
94	232	2212
95	232	2194
96	233	2175
97	234	2157
98	235	2139
99	235	2122
100	236	2104
101	237	2088
102	237	2071
103	238	2055
104	239	2039
105	239	2023
106	240	2008
107	241	1992
108	241	1977
109	242	1963
110	243	1949
111	244	1935
112	244	1921
113	245	1907
114	246	1894
115	246	1881
116	247	1867
117	248	1854
118	248	1843
119	249	1830
120	250	1818
121	250	1805
122	251	1793
123	252	1782
124	253	1771
125	253	1759
126	254	1749
127	255	1740
128	256	1729
129	256	1718
130	257	1708
131	258	1697
132	258	1687
133	259	1678
134	260	1668
135	261	1658
136	261	1648
137	262	1639
138	263	1629
139	263	1620
140	264	1611
141	264	1600
142	265	1591
143	266	1582
144	266	1574
145	267	1565
146	268	1558
147	269	1549
148	269	1541
149	270	1533
150	271	1525
151	272	1517
152	273	1511
153	273	1505
154	274	1497
155	275	1490
156	276	1482
157	276	1475
158	277	1467
159	278	1460
160	278	1451
161	279	1444
162	279	1437
163	280	1430
164	281	1423
165	282	1417
166	282	1411
167	283	1404
168	284	1398
169	285	1391
170	285	1385
171	286	1379
172	287	1372
173	287	1366
174	288	1360
175	289	1354
176	290	1348
177	290	1342
178	291	1336
179	292	1330
180	292	1325
181	293	1319
182	294	1313
183	294	1308
184	295	1302
185	296	1297
186	297	1291
187	297	1286
188	298	1280
189	299	1275
190	299	1270
191	300	1264
192	301	1259
193	301	1254
194	302	1249
195	303	1244
196	304	1239
197	304	1234
198	305	1229
199	306	1224
200	306	1219
201	307	1214
202	308	1210
203	308	1205
204	309	1200
205	310	1196
206	310	1191
207	311	1186
208	312	1182
209	313	1177
210	313	1172
211	314	1168
212	315	1164
213	315	1159
214	316	1155
215	317	1151
216	317	1147
217	318	1142
218	319	1138
219	320	1134
220	320	1130
221	321	1126
222	322	1122
223	322	1118
224	323	1114
225	324	1110
226	324	1106
227	325	1102
228	326	1098
229	327	1094
230	327	1090
231	328	1087
232	329	1083
233	329	1079
234	330	1075
235	331	1071
236	331	1068
237	332	1064
238	333	1061
239	334	1057
240	334	1054
241	335	1050
242	336	1047
243	336	1043
244	337	1040
245	338	1037
246	339	1034
247	339	1030
248	340	1027
249	341	1023
250	342	1020
251	342	1017
252	343	1013
253	344	1010
254	344	1007
255	345	1003
256	346	1000
257	346	997
258	347	994
259	348	990
260	348	987
261	349	984
262	350	981
263	351	978
264	351	975
265	352	972
266	353	969
267	353	966
268	354	963
269	355	960
270	355	957
271	356	954
272	357	951
273	357	948
274	358	945
275	359	942
276	360	939
277	360	936
278	361	933
279	362	931
280	362	928
281	363	925
282	364	922
283	364	919
284	365	917
285	366	914
286	367	911
287	367	909
288	368	906
289	369	903
290	369	901
291	370	898
292	371	895
293	371	893
294	372	890
295	373	887
296	374	885
297	374	882
298	375	880
299	376	878
300	377	875
301	377	873
302	378	870
303	379	868
304	379	865
305	380	863
306	381	860
307	382	858
308	382	856
309	383	854
310	384	851
311	385	849
312	385	846
313	386	844
314	387	842
315	387	839
316	388	837
317	389	835
318	390	833
319	391	831
320	391	829
321	392	826
322	393	824
323	394	822
324	394	819
325	395	817
326	396	815
327	397	813
328	397	811
329	398	809
330	399	807
331	400	804
332	400	802
333	401	800
334	402	798
335	402	796
336	404	794
337	404	793
338	405	791
339	406	788
340	407	786
341	408	785
342	408	782
343	409	780
344	410	778
345	410	776
346	411	774
347	412	772
348	412	770
349	413	767
350	414	765
351	414	763
352	415	761
353	416	759
354	416	757
355	417	756
356	418	754
357	419	752
358	420	750
359	421	748
360	422	747
361	423	745
362	423	743
363	424	742
364	425	740
365	426	738
366	427	736
367	427	734
368	428	732
369	429	731
370	430	729
371	430	727
372	431	725
373	432	723
374	432	721
375	433	719
376	434	717
377	434	715
378	435	713
379	436	711
380	437	710
381	437	708
382	438	706
383	439	704
384	439	702
385	440	700
386	441	698
387	441	697
388	442	695
389	443	693
390	444	691
391	444	689
392	445	687
393	446	686
394	446	684
395	447	682
396	448	680
397	448	678
398	449	677
399	450	675
400	451	673
401	451	671
402	452	670
403	453	668
404	453	666
405	454	664
406	455	663
407	455	661
408	456	659
409	457	657
410	457	656
411	458	654
412	459	652
413	459	651
414	460	649
415	461	648
416	462	646
417	463	644
418	463	643
419	464	641
420	465	639
421	466	638
422	466	636
423	467	635
424	468	634
425	469	632
426	470	630
427	470	629
428	471	627
429	472	625
430	472	624
431	473	622
432	474	620
433	474	619
434	475	617
435	476	616
436	477	614
437	477	613
438	478	611
439	479	609
440	479	608
441	480	606
442	481	605
443	482	604
444	483	602
445	483	601
446	484	599
447	485	597
448	486	596
449	486	594
450	487	593
451	488	592
452	489	590
453	489	589
454	490	587
455	491	586
456	492	584
457	492	583
458	493	581
459	494	580
460	494	578
461	496	577
462	496	576
463	497	574
464	498	573
465	498	571
466	499	570
467	500	568
468	500	567
469	501	565
470	502	564
471	503	563
472	504	561
473	505	560
474	505	559
475	506	557
476	507	556
477	507	554
478	508	553
479	509	551
480	510	550
481	511	549
482	511	547
483	512	546
484	513	545
485	514	543
486	514	542
487	515	540
488	516	539
489	517	538
490	518	537
491	518	535
492	519	534
493	520	532
494	521	531
495	521	530
496	522	528
497	523	527
498	524	526
499	525	525
500	525	523
501	526	522
502	527	520
503	527	519
504	528	518
505	529	516
506	529	515
507	530	514
508	531	513
509	532	511
510	533	510
511	534	509
512	534	507
513	535	506
514	536	504
515	536	503
516	537	502
517	538	501
518	539	500
519	540	498
520	540	497
521	541	495
522	542	494
523	542	493
524	543	491
525	544	490
526	545	489
527	546	488
528	547	487
529	547	485
530	548	484
531	549	483
532	549	481
533	550	480
534	551	479
535	552	478
536	553	476
537	553	475
538	554	474
539	555	473
540	555	471
541	556	470
542	557	469
543	558	467
544	559	466
545	560	465
546	560	464
547	561	463
548	562	461
549	562	460
550	563	459
551	564	457
552	565	456
553	565	455
554	566	454
555	567	453
556	568	451
557	568	450
558	569	449
559	570	448
560	571	446
561	571	445
562	572	444
563	573	443
564	574	442
565	574	440
566	575	439
567	576	438
568	577	437
569	577	435
570	578	434
571	579	433
572	579	432
573	580	431
574	581	430
575	582	428
576	583	427
577	584	426
578	585	425
579	586	424
580	586	423
581	587	422
582	588	421
583	589	419
584	590	418
585	590	417
586	591	416
587	592	414
588	592	413
589	593	412
590	594	411
591	595	410
592	596	409
593	596	407
594	597	406
595	598	405
596	599	404
597	600	403
598	600	402
599	601	401
600	602	400
601	603	398
602	604	397
603	604	396
604	605	395
605	606	394
606	606	392
607	607	391
608	608	390
609	609	389
610	610	388
611	611	387
612	612	386
613	613	385
614	613	384
615	614	383
616	615	381
617	616	380
618	616	379
619	617	378
620	618	377
621	619	376
622	619	375
623	620	373
624	621	372
625	621	371
626	622	370
627	623	369
628	624	368
629	625	367
630	626	366
631	626	364
632	627	363
633	628	362
634	629	361
635	630	360
636	631	359
637	632	358
638	632	357
639	633	356
640	634	355
641	634	353
642	635	352
643	636	351
644	637	350
645	638	349
646	638	348
647	639	347
648	640	346
649	641	345
650	641	344
651	642	342
652	643	341
653	644	340
654	645	339
655	645	338
656	646	337
657	647	336
658	648	335
659	648	334
660	649	333
661	650	331
662	651	330
663	651	329
664	652	328
665	653	327
666	654	326
667	656	326
668	657	325
669	659	324
670	660	323
671	662	323
672	664	322
673	666	322
674	668	321
675	669	320
676	670	319
677	671	319
678	673	318
679	674	317
680	675	316
681	676	315
682	677	314
683	677	313
684	678	312
685	679	311
686	680	310
687	681	309
688	682	307
689	682	306
690	683	305
691	684	304
692	685	303
693	686	302
694	687	301
695	687	300
696	688	299
697	689	298
698	689	297
699	690	295
700	691	294
701	691	293
702	692	292
703	693	291
704	694	290
705	694	289
706	695	288
707	696	287
708	696	286
709	697	284
710	698	283
711	699	282
712	699	281
713	700	280
714	701	279
715	701	278
716	702	277
717	703	276
718	704	275
719	704	274
720	705	272
721	706	272
722	707	270
723	707	269
724	708	268
725	709	267
726	710	266
727	710	265
728	711	264
729	712	263
730	713	262
731	714	261
732	714	260
733	715	259
734	716	258
735	716	257
736	717	256
737	718	255
738	719	253
739	719	252
740	720	251
741	721	250
742	721	249
743	722	248
744	723	247
745	724	246
746	724	245
747	725	244
748	726	243
749	726	242
750	727	241
751	728	240
752	728	239
753	729	238
754	730	236
755	730	235
756	731	234
757	732	233
758	732	232
759	733	231
760	734	230
761	735	229
762	736	228
763	736	227
764	737	226
765	738	225
766	739	224
767	739	223
768	740	222
769	741	221
770	742	220
771	743	219
772	743	218
773	744	217
774	745	216
775	745	215
776	746	214
777	747	213
778	747	212
779	748	211
780	749	210
781	749	209
782	750	208
783	751	207
784	752	205
785	752	204
786	753	203
787	754	202
788	754	201
789	756	200
790	756	200
791	757	198
792	758	197
793	759	196
794	759	195
795	760	194
796	761	193
797	761	192
798	762	191
799	763	190
800	764	189
801	765	188
802	765	187
803	766	186
804	767	185
805	767	184
806	768	183
807	769	182
808	770	181
809	771	180
810	771	179
811	772	178
812	773	177
813	773	176
814	774	175
815	775	174
816	776	173
817	776	172
818	777	171
819	778	170
820	779	169
821	780	168
822	780	167
823	781	166
824	782	165
825	782	164
826	783	163
827	784	163
828	785	162
829	786	161
830	786	160
831	787	159
832	788	158
833	789	157
834	789	156
835	790	155
836	791	154
837	792	153
838	792	152
839	793	151
840	794	150
841	795	149
842	795	148
843	796	147
844	797	146
845	798	145
846	799	144
847	799	143
848	800	142
849	801	141
850	801	140
851	802	139
852	803	138
853	803	137
854	804	136
855	805	135
856	806	134
857	807	133
858	808	132
859	808	131
860	809	130
861	810	129
862	810	128
863	811	127
864	812	126
865	813	125
866	814	124
867	814	123
868	815	122
869	816	121
870	817	121
871	817	120
872	818	119
873	819	118
874	820	117
875	820	116
876	821	115
877	822	114
878	823	113
879	823	112
880	824	111
881	825	110
882	826	109
883	827	108
884	828	107
885	829	106
886	829	105
887	830	104
888	831	103
889	831	102
890	832	101
891	833	100
892	834	99
893	835	99
894	836	98
895	836	97
896	837	96
897	838	95
898	839	94
899	840	93
900	841	92
901	841	91
902	842	90
903	843	89
904	844	88
905	844	87
906	845	86
907	846	85
908	847	84
909	847	83
910	848	82
911	849	81
912	850	81
913	850	80
914	851	79
915	852	78
916	852	77
917	853	76
918	854	75
919	855	74
920	856	73
921	856	72
922	857	71
923	858	70
924	858	69
925	859	68
926	860	67
927	861	66
928	862	65
929	862	64
930	863	63
931	864	63
932	865	62
933	865	61
934	866	60
935	867	59
936	867	58
937	868	57
938	869	56
939	870	55
940	871	54
941	871	53
942	872	52
943	873	51
944	874	50
945	874	49
946	875	49
947	876	48
948	877	47
949	877	46
950	878	45
951	879	44
952	880	43
953	880	42
954	881	41
955	882	40
956	883	39
957	884	38
958	884	37
959	885	36
960	886	35
961	886	35
962	887	34
